"These are the prov climates for the Sx CC/genecology trial, queried by Greg March 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data from ClimateBC ver 5.40 (about 66 prov) and ClimWNA 5.4 (the remainder, except one Ont prov which is from ClimNA 5.40)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are normals for 1961-1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberta SO pops designated as Class B because GW < 3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seedlot_code,seedlot_number,seedlot_name,Province,Class,lat_P,long_P,elev_P,MAT_P,MWMT_P,MCMT_P,TD_P,MAP_P,MSP_P,AHM_P,SHM_P,DD_0_P,DD5_P,DD_18_P,DD18_P,NFFD_P,bFFP_P,eFFP_P,FFP_P,PAS_P,EMT_P,EXT_P,Eref_P,CMD_P,MAR_P,RH_P
386,5431,Long Island,NWT,B,49.87,-114,1665,2.3,14.5,-10.2,24.7,692,338,17.8,42.9,1156,1059,5718,20,142,168,255,87,287,-42.5,32.5,548,129,14.1,58
387,5440,Norman Wells,NWT,B,60.85,-113.230003,165,-3.7,15.6,-25.7,41.4,314,168,20,92.9,3111,998,7897,24,134,151,250,99,141,-45.6,34.2,380,206,10.6,61
388,5441,Region E2 2003 collection G313,AB,B,65.27,-126.830002,200,-6.4,14.9,-26.7,41.6,321,194,11.2,76.7,3835,845,8872,17,108,158,236,79,142,-54.2,32.5,369,180,9.7,57
389,5432,Region G2 2003 collection G318,AB,B,54.37879,-112.751503,610,1.5,15.8,-15.7,31.5,498,339,23,46.7,1678,1283,6026,37,155,142,253,111,131,-45.8,33.3,534,153,12.2,58
390,5433,Region E1 2003 collection G334,AB,B,56.61474,-118.790497,749,0.2,15,-17.7,32.7,439,274,23.3,55,1920,1141,6464,25,150,145,250,105,143,-46.1,32.8,490,179,11.4,61
391,5434,Region E 2003 collection G259,AB,B,54.05625,-118.946899,1025,2.1,13.4,-9.4,22.8,583,374,20.8,35.8,1155,989,5769,14,145,158,252,94,164,-42.9,30.9,492,73,11.3,59
392,5435,Region D1 (rogued) 2003 collection G205,AB,B,55.57188,-112.138496,580,0.1,15.6,-18.8,34.4,476,326,21.2,47.9,2014,1178,6517,30,142,156,245,90,127,-46.8,33.5,532,163,11.9,55
393,5436,Region H 2003 collection G242,AB,B,55.19551,-114.783096,715,1.5,15.3,-14.7,29.9,569,408,20.2,37.3,1580,1196,6003,28,155,144,254,109,128,-45.9,32.1,499,71,11.9,59
394,5437,Region D1 (unrogued) 1993 collection G205,AB,B,58.565,-117.220001,375,-1.3,16,-21.9,37.9,408,254,21.2,63.1,2530,1200,7045,35,143,148,246,98,135,-49.4,34.3,504,217,10.9,56
395,5438,Region G1 2002 collection G351,AB,B,55.21067,-114.793297,720,1.4,15.2,-14.8,29.9,566,407,20.2,37.2,1591,1186,6027,27,155,144,253,109,126,-46.2,32.1,496,72,11.9,59
396,5439,Haines Junction,YK,B,55.13179,-118.794701,844,1.5,15.3,-15.1,30.4,471,289,24.5,52.9,1618,1241,6006,31,155,143,253,110,150,-45.8,34.1,524,191,12.8,58
397,YU-HJ-01-SW-95,Mayo,YK,B,60.95,-137.919998,915,-2,12.6,-16.6,29.2,394,204,20.2,61.7,2187,691,7290,6,114,167,234,67,197,-49.8,29.1,357,161,10.7,58
398,YU-MA-01-Sw-02,Ross River,YK,B,63.6,-137.369995,525,-3.7,15.1,-25.7,40.9,385,223,16.2,67.9,3119,989,7904,21,121,160,234,74,170,-43.4,33.9,453,239,9.4,53
399,YU-RR-01-Sw-02,Tagish,YK,B,62.17,-133.75,770,-2.3,15.4,-21.1,36.5,292,184,26.3,83.7,2633,1001,7388,22,133,153,239,86,108,-55.3,31.9,422,232,10.1,60
400,YU-TA-01-Sw-95,Tagish,YK,B,60.55,-134.399994,700,-1.4,13.4,-18.4,31.9,288,160,30,84.1,2138,838,7039,10,124,171,242,71,123,-47.7,31.1,440,261,9.6,58
401,YU-TA-01-Sw-98,Watson Lake,YK,B,60.13,-133.919998,700,-1.1,13.3,-18.1,31.4,283,147,31.3,90.4,2013,828,6955,10,125,172,243,71,130,-46.4,30.9,439,273,10,59
402,YU-WL-01-Sw-99,Watson Lake,YK,B,60.05,-128.899994,620,-2.1,14.6,-21.7,36.3,499,265,15.8,55.3,2539,967,7323,17,130,167,244,77,220,-49.7,33,457,167,9.6,57
403,YU-WL-02-Sw-99,Ft Laird,YK,B,60.05,-127.800003,1005,-1.8,12.5,-17.5,30.1,531,273,15.5,45.8,2137,722,7191,7,117,175,238,63,260,-49.1,30.1,370,108,10.5,57
404,301,DON FERNANDO MT.,NM,B,36.33,-105.419998,2987,4.1,14.8,-5.9,20.7,671,333,20.9,44.5,721,1129,5077,22,140,174,255,81,210,-38.4,32.2,731,311,19.9,52
405,304,WILLOW CREEK,NM,B,35.77,-105.620003,2926,4.2,14.5,-5.2,19.7,758,410,18.7,35.3,670,1106,5039,20,144,172,257,85,203,-38,31.5,709,210,17.7,53
406,308,LOWER CANJILON,NM,B,36.57,-106.330002,2941,3.6,14.8,-6.5,21.3,677,268,20.2,55,810,1097,5230,19,143,170,256,85,273,-38.4,31.4,700,331,20.3,55
407,325,LITTLE PARK,AR,B,36.3,-112.080002,2682,6.2,17.2,-3.4,20.6,686,187,23.6,92,459,1501,4356,58,171,160,265,105,213,-34,33.6,856,494,20.7,55
408,401,SOUTH BALDY,WA,B,48.42,-117.150002,1524,3.8,14.8,-6.5,21.4,1174,308,11.7,48.1,777,1105,5189,25,166,157,268,111,576,-34.5,33.6,554,172,13.5,66
409,402,EAGLE POINT,ID,B,46.78,-115.529999,1402,5.7,17.1,-4.5,21.7,1290,304,12.2,56.3,538,1454,4526,65,178,154,268,114,471,-32.1,36.5,675,271,15.6,61
